"ID","FOOD_A","FOOD_B","DESCRIPTION","SEARCH_CNT"
1,"가지","식물성기름","열량 공급을 쉽게 하고 기름의 소화흡수율을 향상시킨다.",2
2,"가지","식물성기름","열량 공급을 쉽게 하고 기름의 소화흡수율을 향상시킨다.",0
3,"가지","조개","중풍 예방에 효과가 있다.",194
4,"감자","버터","비타민C의 흡수를 도와 준다.",0
5,"감자","치즈","치즈는 감자에 부족한 단백질과 지방을 보충해준다.",0
6,"감자","돼지고기","허리와 무릎이 새큰거리고 힘이 없을 때 좋다",0
7,"고구마","귤","고구마를 비타민이 풍부한 귤을 함께 먹으면 감기 예방에 효과가 있다.",1
8,"고구마","마","기력을 살리고 비위를 튼튼하게 한다.",0
9,"냉이","질경이","부종 치료에 도움이 된다.",0
10,"냉이","결명자","눈의 질환에 도움이 된다.",0
11,"달래","꿀","면역력을 키워준다.",0
12,"달래","식초","불면증을 개선한다.",0
13,"달래","다시마","피부미용에 좋다.",0
14,"당근","기름","소화 흡수를 도와준다.",0
15,"당근","레몬","비타민 C의 섭취를 돕는다.",0
16,"당근","된장","잡티 잔주름 보습을 돕는다.",0
17,"더덕","고추장","더덕의 찬 성질을 중화해준다. ",0
18,"더덕","돼지고기","모유가 잘 나오게 한다.",0
19,"더덕","맥문동","허리와 다리에 힘이 빠질 때 좋다.",0
20,"도라지","감초","편도선염에 효과가 있다.",0
21,"도라지","칡","술독을 풀어 준다.",0
22,"도라지","치자","불면증을 해소한다.",0
23,"도라지","귤껍질","더위를 먹었을 때 좋다.",0
24,"두릅","감초","위궤양을 다스린다.",0
25,"두릅","초장","비타민 성분을 지켜준다. ",0
26,"두릅","쇠고기(소고기)","입맛을 돋워준다.",0
27,"무","찹쌀","몸이 찬 체질의 소화를 돕는다.",0
28,"무","메밀","해독작용을 한다.",0
29,"무","무화과","목의 염증을 완화한다.",0
30,"무","두부","몸이 찬 체질로 설사를 할 때 좋다.",0
31,"무","식초","냉방병으로 가래가 끓을 때 좋다.",0
32,"무","생강","냉방병으로 가래가 끓을 때 좋다.",0
33,"무","소금","가래에 피가 섞여 나올 때 좋다.",0
34,"무","꿀","호흡기질환에 좋다.",0
35,"무","감","중풍을 예방한다.",0
36,"순무","연근","연근의 펙틴 성분이 영양 흡수율을 높이고 위 건강에 도움이 된다.",0
37,"순무","단호박","단호박은 순무의 쓴맛을 완화해 주며 순무에 풍부한 각종 영양 성분의 소화흡수율을 높여주는 효과가 있다.",0
38,"미나리","생선","생선중독을 일으켰을 때 해독작용을 한다. ",0
39,"미나리","복어","복어의 독성분을 해독한다.",0
40,"미나리","쑥갓","초기 고혈압에 효과가 있다.",0
41,"미나리","차조기","무 월경증에 효과가 있다.",0
42,"미나리","겨자","산뜻한 맛과 향기가 살아난다.",0
43,"배추","김치","찬성질이 중화된다.",0
44,"배추","된장","가래를 없애준다.",0
45,"배추","식초"," 배추의 채독을 완화한다.",0
46,"배추","부추","육류나 회를 먹을 때 맛이 좋아진다.",0
47,"배추","갓","육류나 회를 먹을 때 맛이 좋아진다.",0
48,"배추","우유","위장점막을 보호한다.",0
49,"배추","무","체내독소를 배출한다.",0
50,"부추","식초","간보호 및 피로에 좋다.",0
51,"부추","후추","만성설사에 좋다.",0
52,"부추","우유","입덧을 가라 앉힌다.",0
53,"부추","사과","사과의 단맛과 신맛이 부추 특유의 풋내와 쓴맛을 중화시켜준다. 피를 맑게 해 주는 정혈 작용",0
54,"부추","토마토","피를 맑게 해 주는 정혈 작용을 한다.",0
55,"부추","다시마","강정 및 정장효과가 있다.",0
56,"부추","된장","강정 및 정장효과가 있다.",0
57,"부추","생강","구역질을 가라 앉힌다.",0
58,"부추","돼지고기","양성 음성의 조화를 이룬다",0
59,"부추","참깨","전립선염이나 통풍예방에 좋다.",0
60,"브로콜리","치즈","비타민A의 효력이 상승한다.",0
61,"브로콜리","양파","바이러스에 대한 저항력을 높인다.",0
62,"브로콜리","오렌지","비타민C가 강화되어 질병에 대한 저항력이 높아진다.",0
63,"브로콜리","양파","철분 흡수율을 높인다.",0
64,"브로콜리","호두","암내 제거에 좋다.",0
65,"브로콜리","기름","노화방지에 효과가 있다.",0
66,"브로콜리","아몬드","성인병 예방에 효과가 있다.",0
67,"브로콜리","귤","귤의 비타민 C가 브로콜리의 철분 흡수를 돕는다.",0
68,"상추","쑥갓","불면증에 도움이 된다.",0
69,"상추","생강","상추를 먹고 체했거나 중독되었을 때 생강즙을 마시면 독이 풀린다.",0
70,"상추","족발","모유가 풍부해 진다.",0
71,"상추","오이","소변이 잘 나온다.",0
72,"양상추","팥","이뇨효과가 상승해 방광염이나 혈뇨에 좋다.",0
73,"양상추","무","열을 떨어뜨리고 열에 의한 구취를 없애준다.",0
74,"양상추","파슬리","빈혈에 효과가 있다.",0
75,"양상추","셀러리","불안증과 불면증에 도움이 된다.",0
76,"양상추","닭간","혈액순환이 잘 안되거나 빌혈때문에 손발이 차가울때 좋다.",0
77,"셀러리","꿀","수면을 촉진하는 효능이 상승하고 고혈압에 효과가 있다.",0
78,"셀러리","후추","화촉진 작용이 상승하고 후추가 셀러리의 찬 성질을 누그러뜨려 준다.",0
79,"셀러리","사과","사과의 식물성 섬유와 셀러리의 식물성 섬유가 만나면 혈압을 낮추는 효과가 상승한다.",0
80,"셀러리","대추","콜레스테롤 강하에 좋다.",0
81,"셀러리","당근","신진대사를 촉진하며 소화촉진 작용을 하면서 피부 문제를 예방한다. 변비에도 좋다.",0
82,"셀러리","다시마","체내 독소배출이 잘 된다. 얼굴 홍조와 부종에도 효과가 있다.",0
83,"셀러리","콩","피가 맑아지고 혈압이 떨어지며 갱년기로 얼굴이 달아오르는 것이 해소된다.",0
84,"셀러리","메밀","체내에 쌓인 열을 내리고 해독 작용 및 혈압을 낮춰주는 효과가 있다.",0
85,"시금치","조개","빈혈에 좋다.",0
86,"시금치","붉은살생선","빈혈에 좋다.",0
87,"시금치","계란(달걀)","당뇨병으로 갈증에 좋다.",0
88,"시금치","참깨","결석을 예방한다.",0
89,"시금치","당근","비타민 A가 풍부해 시금치의 조혈작용을 더 활발하게 해준다.",0
90,"시금치","우유","독소 배출에 좋다.",0
91,"시금치","두유","철분 흡수가 상승하는 동시에 시금치의 풋내를 가시게 한다.",0
92,"시금치","바나나","얼굴이나 다리의 붓기 제거에 좋다.",0
93,"시금치","감귤","빈혈에 좋다.",0
94,"시금치","사과","변비 해소에 좋다.",0
95,"쑥","당귀","습관성 월경불순에 좋다.",0
96,"쑥","계란(달걀)","대하증에 좋다.",0
97,"쑥","생강","산후 하혈이나 설사에 좋다.",0
98,"쑥","결명자","쑥의 독특한 향기는 살리면서 치네올이라는 성분 때문에 쓴맛이 강한 것을 줄일 수 있다.",0
99,"쑥","검은콩","월경불순에 의한 불임증에 효과가 있다.",0
100,"쑥","연근","코피가 잦을 때 좋다. 토혈 각혈 혈뇨 혈변 자궁출혈 등에도 효과가 있다.",0
101,"쑥","국화","편두통에 좋다.",0
102,"쑥","율무","신경통 류머티즘에 좋고 붓기가 있고 근육이 뭉치는 신경통에 더 효과가 있다.",0
103,"쑥","석류","입냄새를 없애준다.",0
104,"쑥갓","셀러리","고혈압에 좋다.",0
105,"쑥갓","솔잎","심장병에 도움이 된다. 쑥갓의 쓴맛은 심장을 강화하고 솔잎도 혈관 벽을 강화한다.",0
106,"쑥갓","아스파라거스","동맥경화에 좋다. 피로해소에 좋고 이뇨작용이 있어 신장에도 좋다.",0
107,"쑥갓","참기름","변통이 원활해 진다.",0
108,"쑥갓","두부","성인병 예방에 좋다.",0
109,"쑥갓","조기","비타민류와 양질의 단백질이 풍부한 음식이 된다.",0
110,"쑥갓","굴","혈관 강화 및 혈압강하에 좋다.",0
111,"양배추","자몽","항암 효과가 있다.",0
112,"양배추","당근","피부 미용에 좋다. 혈액 순환에 좋다.",0
113,"양배추","식초","양배추 향을 없애준다.",0
114,"양배추","파인애플","장 정화작용이 더 활발해진다.",0
115,"양배추","우유","암 예방에 좋다.",0
116,"양배추","사과","변비에 좋다.",0
117,"양배추","오징어","다이어트 효과가 있다.",0
118,"양파","식초","불면증에 좋다.",0
119,"양파","수삼","치매 예방에 좋다.",0
120,"양파","오미자","피로해소에 효과적이다.",0
121,"양파","육류","양파는 수분이 많아 육류의 느끼한 맛을 잡는데 제격이고 체지방분해를 돕는 성분이 있다.",0
122,"양파","당근","변비에 좋다.",0
123,"양파","호박","변비에 좋다.",0
124,"양파","콩","당뇨병에 좋다.",0
125,"양파","사과","콜레스테롤 강하에 좋다.",0
126,"양파","꿀","피로해소와 자양강장제로 효과가 있다.",0
127,"연근","생강","감기에 잘 걸리고 기침이나 가래가 끊이지 않는 등 호흡기가 약한 경우에 효과적이다.",1
128,"연근","소금","지혈작용을 한다.",0
129,"연근","생지황","상열하한의 증세를 다스리는데 좋은 보양음식이다.",0
130,"연근","아보카도","변비를 해소할 수 있다.",0
131,"연근","요구르트","코피가 자주 날 때좋다.",0
132,"연근","인삼","빈혈에 좋다.",0
133,"오이","소금","오이는 음성 식품이므로 냉한 체질이나 저혈압 또는 빈혈에는 안 좋은데 소금을 약간 배합하면 몸의 균형이 깨지지 않도록 막아 준다. ",0
134,"오이","식초","오이를 자르면 비타민 C 분해효소가 생기기 때문에 오이를 다른 과일이나 채소와 함께 먹을 때는 소금이나 식초를 약간 섞어 효소의 작용을 억제해주는 게 좋다.",0
135,"오이","밀가루","통증과 부기를 가라앉힌다.",0
136,"오이","둥글레","소변이 원활해진다.",0
137,"오이","꿀","오이에 꿀을 발라 먹으면 열이 내리고 소변이 원활해지는 효과가 있다. ",0
138,"오이","우유","오이 껍질을 썰어 우유에 하루 담갔다가 여드름 부위를 씻어 주면 좋다. 땀띠나 벌레 물렸을 때도 활용할 수 있다. 사마귀에는 사마귀 윗부분을 긁어내고 그 자리에 오이 꼭지로 자주 문질러주면 완화되는 효과가 있다.",0
139,"오이","사과","오이와 사과를 함께 먹으면 혈압강하에 좋다. 오이의 칼륨이 체내의 염분과 노폐물을 배출하여 몸을 정화해주고 사과의 칼륨도 혈압을 떨어뜨린다. 저열량의 오이와 사과를 함께 먹으면 비만 해소에도 효과가 있다. 또 사과는 오이의 유효성분이 산화하는 것을 막아준다. ",0
140,"오이","술","술독을 풀어준다.",0
141,"우엉","쌀뜨물","우엉을 삶을 때 쌀뜨물을 활용하면 전분 성분이 채소 표면의 산화를 방지해 갈변현상을 막아주고 식감이 부드러워지며 아린 맛이 제거된다.",0
142,"우엉","도라지","편도선염이나 인후가 부었을 때, 통증이 있을 때 좋다.",0
143,"우엉","다시마","입안에 염증이 생기거나 잇몸이 부어서 염증이 생겼을 때는 우엉과 다시마를 함께 넣어서 달인 물로 양치를 하고나 우엉과 소금을 넣고 달인 물로 양치를 하면 염증에 좋다.",0
144,"우엉","꿀","소변불리에 좋은 효과가 있다.",0
145,"우엉","율무","소변불리에 좋은 효과가 있다.",0
146,"우엉","육류","우엉은 고기를 먹고서 중독 현상을 보일 때 해독해 준다.",0
147,"우엉","더덕","우엉에는 이눌린이 많아서 장에서 칼슘이 흡수되는 것을 돕는다.",0
148,"우엉","연근","우엉에는 이눌린이 많아서 장에서 칼슘이 흡수되는 것을 돕는다.",0
150,"죽순","호두","불면증을 해소한다.",0
151,"죽순","쌀뜨물","쌀뜨물이 죽순의 결석을 유발하는 수산 성분을 제거되며 떫은맛이 사라지고 다른 유익한 영양소의 파괴를 막을 수 있다. ",0
152,"죽순","해삼","유산을 방지한다.",0
153,"죽순","메추리(메추라기)","어느 체질에게나 좋은 강장제가 될 수 있다.",0
154,"죽순","고추","죽순의 감칠맛이 살아난다.",0
155,"죽순","꿀","변비해소에 좋다.",0
156,"토란","다시마","다시마는 토란의 유해성분과 떫은 맛을 없애주고 체내에 신진대사를 촉진시키는 역할을 한다.",0
157,"토란","밀가루","신경통, 타박상 등 통증을 가라앉힌다.",0
158,"토란","소철","정력증강에 효과가 있다.",0
159,"토란","붕어","빈혈에 좋다.",0
160,"표고버섯","청주","혈액순환이 좋아진다.",0
161,"표고버섯","박","표고의 중독을 막을 수 있다.",0
162,"표고버섯","꿀","면역력을 강화한다.",0
163,"표고버섯","얼음설탕","심한 기침에 좋다.",0
164,"표고버섯","녹두","해독작용을 한다.",0
165,"표고버섯","참치","골다공증에 좋다.",2
166,"표고버섯","고등어","골다공증에 좋다.",0
167,"표고버섯","꽁치","골다공증에 좋다 .",0
168,"호박","계란(달걀)","호박이 계란(달걀)의 단백질을 체내에 흡수할 수 있도록 도와준다. 신경이 안정된다.",0
169,"호박","미꾸라지","부종에 좋다.",0
170,"호박","돼지고기","단백질과 비타민A의 섭취가 좋아진다.",0
171,"호박","머위","간장을 보호한다.",0
172,"호박","잉어","산후회복에 좋다.",0
173,"호박","꿀","베타카로틴의 흡수가 좋아진다.",0
174,"호박","기름","베타카로틴의 흡수가 좋아진다.",0
175,"가자미","좁쌀","맛이 좋다.",0
176,"가자미","기름","각질화 현상을 막아준다.",0
177,"갈치","목이버섯","혈액을 맑게 하고 피부트러블을 막아준다.",0
178,"게","식초","어혈을 풀고 피로를 풀어준다.",0
179,"게","술","어혈을 풀고 피로를 풀어준다.",0
180,"게","오미자","게를 삶아도 변하지 않는다.",0
181,"게","차조기","게를 먹고 체 했을 때 풀어 준다.",0
182,"고등어","식초","비린내를 없앤다.",0
183,"고등어","무","영양을 보충하고 소화가 잘 된다.",0
184,"고등어","소금","혈중 콜레스테롤 수치를 떨어뜨리고 중성 지방을 감소시시는 효과가 있다.",0
185,"고등어","된장","비린내를 없애준다.",0
186,"고등어","차조기","고등어 알레르기가 있을 때 해독 작용을 한다.",0
187,"굴","레몬","살균 효과가 있고 굴의 철분 흡수율이 높아진다.",0
188,"굴","식초","정력제 효과가 상승한다.",0
189,"굴","통밀","소화기가 약해 입이 짧고 트림을 할 때 굴 껍데기를 씻어 말린 후 가루를 내어 통밀 끓인 물로 마시게 하면 효과가 있다.",0
190,"김","기름소금","베타카로틴의 흡수를 촉진 시켜준다.",0
191,"김","파래","소화기를 강화한다.",0
192,"김","식초","장속의 유해독성을 풀어 준다.",0
193,"꽁치","귤","꽁치 특유의 비린내를 줄일 수 있다.",0
194,"꽁치","열무","골다공증에 좋다.",0
195,"꽁치","청주","비린내를 잡아주는 효과가 있다.",0
196,"꽁치","무","꽁치의 비린내를 없애준다.",0
197,"도미","산수유","신장의 기능을 활성화해 정력을 강화해 준다.",0
198,"꽁치","파슬리","비린내를 없애주고 꽁치에 부족한 영양을 보완해준다.",0
199,"꽁치","레몬","비린내를 없애주고 꽁치에 부족한 영양을 보완해준다.",20
200,"꽁치","흑임자","칼슘섭취 효과가 배가 된다.",0
201,"낙지","콩나물","맛을 살리는 상승효과가 있다.",0
202,"낙지","생강","기운을 북돋우는 작용과 보혈작용이 상승한다.",0
203,"낙지","식초","기운을 북돋우는 작용과 보혈작용이 상승한다.",0
204,"낙지","생굴","낙지는 성질이 차기 때문에 맵게 요리해서 먹으면 성질이 중화되어 좋다. 생굴도 낙지와 같이 양성 체질에 맞는 식품 중 하나이다.",0
205,"낙지","무","산성식품과 알카리성식품이 중화된다.",0
206,"넙치","해조류","해조류가 넙치에 부족한 비타민 B를 보완할 수 있으며 식욕감퇴나 피로감 나른함 부종이 있는 사람에게도 효과가 좋다.",0
207,"넙치","아욱","아욱이 넙치에 부족한 성분을 보완해줄 수도 있으며 비린내를 없애는 작용도 한다.",0
208,"다시마","마늘","다시마는 마늘을 먹은 후 나는 냄새를 없애주는 역할을 한다.",0
209,"다시마","찹쌀","다시마와 찹쌀을 같은 양씩 가루 내어 알을 만든 후 적당량 복용하면 비만과 고질적인 변비 해소에도 효과적이다.",0
210,"다시마","토란","다시마가 토란의 유해성분과 떫은맛을 제거해주고 부드럽게 만들어준다.",0
211,"다시마","검은콩","다시마는 동맥경화를 예방하는 효과가 있는데 이러한 다시마에 콜레스테롤 혈전 개선에 효과가 있는 검은콩을 함께 먹으면 고혈압 당뇨병 비만 등을 예방할 수 있다.",0
212,"달팽이","버터","맛이 어우러진다.",0
213,"달팽이","소금","소금물로 달팽이를 세척하면 좋다.",0
214,"달팽이","백포도주","달팽이요리를 소화시키는 데 효과가 있다.",0
215,"대구포","들기름","맛이 좋아지고 대구에 들어 있는 영양 성분을 더 효과적으로 흡수시킬 수 있다.",0
216,"대구","마늘","비린내를 없애준다.",0
217,"대구","생강","비린내를 없애준다.",0
218,"대구","쌀","노약자나 허약자의 보양식으로도 뛰어나다.",0
219,"대구","석류껍질","구충제로도 효과가 있다.",0
220,"메기","참깨","맛이 좋고 어류의 중독을 방지해준다.",0
221,"메기","머위","머위에는 해독작용이 있어 생선을 요리할 때 함께 넣으면 식중독을 미리 막을 수 있다.",0
222,"멸치","된장","일명 화병으로 열기가 달아오르거나 입에서 단내가 나는 등 가슴에서 열불이 나고 손발이 화끈거리는 증상들을 가라앉힐 수 있다.",0
223,"멸치","피망","칼슘이 풍부해 어린이나 임산부에게 좋다. 피망의 비타민 P는 비타민 C의 파괴를 막아주며 비타민 D는 칼슘 흡수를 촉진해 주는 역할을 합니다. ",0
224,"멸치","쌀","멸칫국물에 불린 쌀과 함께 넣어 죽을 쒀 먹으면 습관 유산을 막을 만큼 효과가 크며 임신 중 정서불안 해소에도 효과가 있다.",0
225,"멸치","우유","칼슘보급원에 좋다.",0
226,"멸치","미역","산후 어혈을 풀어주고 산후 뼈마디가 쑤시는 데 좋으며 모유 분비도 잘 되게 해준다.",0
227,"멸치","식초","멸치의 비린내를 없애 준다.",0
228,"멸치","잣","빈혈과 고혈압 호흡기에도 좋은 식품이자 임산부와 태아를 편안하게 한다.",0
229,"북어","밀가루","양념 맛이 겉돌지 않는다.",0
230,"북어","쌀뜨물","쌀뜨물의 콜로이드상 물질이 떫은맛을 흡착하며 북어의 맛있는 성분이 흘러나오는 것을 막아 준다.",0
231,"북어","콩나물","숙취 해소에 좋다.",0
232,"명란","새우젓","맛 상승 효과가 있다.",0
233,"문어","생강","보혈작용이 향상된다.",0
234,"문어","식초","보혈작용이 향상된다.",0
235,"문어","무","육질이 부드러워지면서 소화도 잘되는 효과가 있다.",0
236,"미꾸라지","우엉","함께 먹으면 강장 효과가 상승한다.",0
237,"미꾸라지","산초","미꾸라지의 비린내를 제거한다. 눈이 피로하고 눈꺼풀이 떨리는 증세가 있을 때 효과가 있다.",0
238,"미꾸라지","양파","미꾸라지와 양파와 함께 먹으면 부신피질 호르몬이 활성화하기 때문에 좋은 강장 요리가 된다.",0
239,"미꾸라지","구기자","혈관 벽도 튼튼하게 해주며 혈액순환도 원활하게 해주는 효능이 있다.",0
240,"미꾸라지","연잎","성신경쇠약증에 좋다.",0
241,"미꾸라지","설탕","정력에 좋다.",0
242,"미역","버섯","미역은 버섯 중독을 해독시킨다.",0
243,"미역","육류","산도를 중화해 소화 흡수가 잘 된다.",0
244,"미역","오이","열을 떨어 뜨리는 효과가 있다.",0
245,"미역","콩","콩 제품을 먹으면 요오드가 배출되며 요오드 부족을 미역이 채워준다.",0
246,"미역","두부","콩 제품을 먹으면 요오드가 배출되며 요오드 부족을 미역이 채워준다.",0
247,"미역","참기름","미역 요리를 할 때 참기름을 사용하면 미역에 들어있는 요오드 및 각종 영양 성분의 흡수율이 훨씬 높아지게 된다.",0
248,"미역","식초","식초가 미역에 함유된 칼슘의 체내 흡수를 촉진하여 더위와 갈증을 풀어주고 스트레스를 완화해주는 역할을 한다.",0
249,"민어","쑥","여성의 냉증 월경불순 불임증에 좋다.",0
250,"병어","귤껍질","비위허약으로 소화가 안 될 때 효과가 있다.",0
251,"병어","당귀","근육과 뼈가 아프고 사지가 마비된 데 효능이 있다.",0
252,"붕어","차조","속이 냉해서 생긴 설사 치료에 좋다.",0
253,"붕어","파","속이 냉해서 생긴 설사 치료에 좋다.",0
254,"붕어","당귀","산후 부종에 좋고 특히 체력 보강과 빈혈 치료에 도움이 된다.",0
255,"붕어","구기자","산후 부종에 좋고 특히 체력 보강과 빈혈 치료에 도움이 된다.",0
256,"붕어","머위","붕어의 비위기능 보강작용이 상승한다. 머위가 또한 식중독을 예방한다",0
257,"붕어","팥","각종 부종이 빨리 가라앉는다.",0
258,"붕어","찻잎","당뇨병에 좋다.",0
259,"붕어","무","기침과 가래 피 섞인 가래가 나오는 증상 개선에도 효과가 있다.",0
260,"새우","생강","새우의 알레르기 반응을 예방하는 효과가 있다.",0
261,"새우","무","새우의 알레르기 반응을 예방하는 효과가 있",0
262,"새우","아욱","아욱이 새우에 부족한 비타민 A와 비타민 C를 채워주며 새우가 아욱에 부족한 필수 아미노산을 채워준다.",0
263,"새우","파","중풍을 예방한다. 순환이 잘 되지 못하고 뭉친 피의 응어리를 풀어준다.",0
264,"새우","닭고기","새우가 닭고기의 소화를 돕는다.",0
265,"새우","치자","새우 껍질과 치자열매 말린 것을 함께 가루 낸 것은 위궤양 치료제로 유명하다.",0
266,"숭어","매실","위액분비를 촉진하고 식욕 증진에도 도움이 됩니다. 또한 매실이 숭어의 효능도 높여준다.",0
267,"숭어","파슬리","파슬리는 생선 독을 해독시켜주고 파슬리 향이 위장에 적당한 자극을 주어 소화를 도와주고 식욕을 돋워주므로 숭어의 효능을 더해주는 역할을 한다.",0
268,"숭어","머위","숭어와 머위를 함께 먹으면 식중독을 미리 막을 수 있고 입맛을 돋우고 위액이 잘 분비되도록 돕기 때문에 소화기 기능을 좋게 해주는 숭어의 효능을 더해준다.",0
269,"연어","버터","위장이 따뜻해 지고 냉증을 없앨 수 있다.",0
